id,location,latitude,longitude
1,Sydney,-33.865,151.2094
2,Melbourne,-37.8136,144.9631
3,Brisbane,-27.4678,153.0281
4,Gold Coast,-28.0167,153.4
5,Newcastle,-32.9167,151.75
6,Wollongong,-34.4331,150.8831
7,Hobart,-42.8806,147.325
8,Ballarat,-37.55,143.85
9,Bendigo,-36.75,144.2667
10,Launceston,-41.4419,147.145
11,Coffs Harbour,-30.3022,153.1189
12,Wagga Wagga,-35.1189,147.3689
13,Albury,-36.0806,146.9158
14,Mildura,-34.1889,142.1583
15,Mount Gambier,-37.8294,140.7828
16,Sale,-38.1,147.0667
17,Penrith,-33.7511,150.6942
18,Portland,-38.3333,141.6
19,Moree,-29.465,149.8344
20,Richmond,-33.5983,150.7511
21,Cobar,-31.4997,145.8319
22,Nhill,-36.3333,141.65
23,Badgerys Creek,-33.87509,150.76343
24,Norah Head,-33.28329,151.5667
25,Norfolk Island Creek,-31.74336,150.04781
26,Williamtown,-32.8115,151.84426
27,Mount Ginini,-35.52938,148.77227
28,Watsonia,-37.708,145.083
29,Dartmoor,-37.91438,141.273
30,Cairns Street,-27.67611,153.1886
