dateId,locationId,mimTemp,maxTemp,rainfall,windGustDir,windGustSpeed
336,13,13.4,22.9,0.6,W,44.0
337,13,7.4,25.1,0.0,WNW,44.0
338,13,12.9,25.7,0.0,WSW,46.0
339,13,9.2,28.0,0.0,NE,24.0
340,13,17.5,32.3,1.0,W,41.0
341,13,14.6,29.7,0.2,WNW,56.0
342,13,14.3,25.0,0.0,W,50.0
343,13,7.7,26.7,0.0,W,35.0
344,13,9.7,31.9,0.0,NNW,80.0
345,13,13.1,30.1,1.4,W,28.0
346,13,13.4,30.4,0.0,N,30.0
347,13,15.9,21.7,2.2,NNE,31.0
348,13,15.9,18.6,15.6,W,61.0
349,13,12.6,21.0,3.6,SW,44.0
350,13,8.4,24.6,0.0,,
351,13,9.8,27.7,,WNW,50.0
352,13,14.1,20.9,0.0,ENE,22.0
353,13,13.5,22.9,16.8,W,63.0
354,13,11.2,22.5,10.6,SSE,43.0
355,13,9.8,25.6,0.0,SSE,26.0
356,13,11.5,29.3,0.0,S,24.0
357,13,17.1,33.0,0.0,NE,43.0
358,13,20.5,31.8,0.0,WNW,41.0
359,13,15.3,30.9,0.0,N,33.0
360,13,12.6,32.4,0.0,W,43.0
361,13,16.2,33.9,0.0,WSW,35.0
362,13,16.9,33.0,0.0,WSW,57.0
363,13,20.1,32.7,0.0,WNW,48.0
364,13,19.7,27.2,0.0,WNW,46.0
365,13,12.5,24.2,1.2,WNW,50.0
366,13,12.0,24.4,0.8,W,39.0
367,13,11.3,26.5,0.0,WNW,56.0
368,13,9.6,23.9,0.0,W,41.0
369,13,10.5,28.8,0.0,SSE,26.0
370,13,12.3,34.6,0.0,WNW,37.0
371,13,12.9,35.8,0.0,WNW,41.0
372,13,13.7,37.9,0.0,W,52.0
373,13,16.1,38.9,0.0,W,57.0
374,13,14.0,28.3,0.0,W,48.0
375,13,12.5,28.4,0.0,NE,37.0
376,13,17.0,30.8,0.0,NE,37.0
377,13,16.9,32.0,0.0,S,31.0
378,13,17.3,34.7,0.0,SW,35.0
379,13,17.2,37.7,0.0,NNW,35.0
380,13,17.4,43.0,0.0,NW,39.0
381,13,19.8,32.7,0.0,WNW,44.0
382,13,14.9,26.7,0.0,SW,56.0
383,13,10.5,28.4,0.0,SE,33.0
384,13,11.3,32.2,0.0,WNW,28.0
385,13,13.9,36.6,0.0,WNW,39.0
386,13,18.6,39.9,0.0,NNW,61.0
387,13,19.3,38.1,0.8,NNW,61.0
388,13,24.4,34.0,0.6,NW,98.0
389,13,18.8,35.2,6.4,WNW,52.0
390,13,20.8,30.6,0.0,W,54.0
391,13,14.0,34.3,0.0,WSW,24.0
392,13,15.7,38.4,0.0,S,33.0
393,13,18.5,38.2,0.0,NNE,31.0
394,13,20.4,40.7,0.0,N,37.0
395,13,21.8,41.5,0.0,SW,24.0
396,13,22.3,42.9,0.0,NNE,28.0
397,13,22.0,42.7,0.0,ESE,48.0
398,13,28.0,43.1,0.0,SW,83.0
399,13,24.4,38.3,0.2,SW,56.0
400,13,21.5,37.7,0.0,,
401,13,21.7,36.9,0.0,,
402,13,21.5,41.2,0.0,WSW,35.0
403,13,23.5,42.2,0.0,W,37.0
404,13,22.3,44.8,0.0,NNW,59.0
405,13,28.3,40.2,0.0,NW,52.0
406,13,18.4,31.2,0.4,SE,37.0
407,13,14.9,27.3,0.0,SSE,41.0
408,13,13.5,26.7,0.0,SSE,46.0
409,13,16.1,21.6,0.0,SE,46.0
410,13,14.6,29.0,3.0,SSE,41.0
411,13,12.4,29.2,0.0,NE,39.0
412,13,13.3,31.3,0.0,NNE,41.0
413,13,17.2,31.1,0.0,E,35.0
414,13,12.5,28.8,0.0,N,31.0
415,13,18.0,32.0,0.0,NW,31.0
416,13,16.2,34.0,0.0,WSW,48.0
417,13,18.7,29.1,0.0,SSW,41.0
418,13,13.7,31.7,0.0,SSE,28.0
419,13,15.5,33.2,0.0,NW,31.0
