months,element,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
January,Temperature change,1.3,0.7,0.9,1.1,0.3,2,1.2,0.4,0.9,1.1
January,Standard Deviation,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
February,Temperature change,-0.4,0.7,1.1,0.1,-0,1,0.4,1.9,1.3,0.7
February,Standard Deviation,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
March,Temperature change,0.6,0.5,0.4,-0.7,-0.8,0.9,0.9,0.8,1.8,1.7
March,Standard Deviation,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
April,Temperature change,-0.3,0.7,1.5,-0.3,0.3,1.2,1.3,-0.4,2.1,0.2
April,Standard Deviation,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
May,Temperature change,0.7,0.4,0.9,-0.9,-0.1,1.4,2,0.3,2.3,1
May,Standard Deviation,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
June,Temperature change,1.1,0.7,0.4,-0.5,-0.5,0.9,0.6,1.3,1.3,0.5
June,Standard Deviation,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
July,Temperature change,0.4,0.9,1.2,0.7,-0.1,1.6,0.5,0.6,1.1,1.8
July,Standard Deviation,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
August,Temperature change,-0.5,2.5,0.3,1.2,0.5,1.8,0.5,0.9,0.7,1.2
August,Standard Deviation,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
September,Temperature change,1.5,1.4,0.5,0.4,1.3,2.8,1.4,0.6,0.3,1.5
September,Standard Deviation,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
October,Temperature change,1.8,0.6,-0.1,0.7,1,1.7,2.1,3,-0.2,1.7
October,Standard Deviation,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
November,Temperature change,0.2,2.2,-0.3,0.6,1.5,0.8,2,2.1,0.8,1
November,Standard Deviation,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
December,Temperature change,0.3,1.1,-0.3,-0.2,1.4,0.9,1.1,1.2,1,1.3
December,Standard Deviation,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Dec�Jan�Feb,Temperature change,0.4,0.5,1,0.3,0,1.5,0.9,1.1,1.1,0.9
Dec�Jan�Feb,Standard Deviation,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mar�Apr�May,Temperature change,0.3,0.6,0.9,-0.6,-0.2,1.2,1.4,0.2,2.1,1
Mar�Apr�May,Standard Deviation,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Jun�Jul�Aug,Temperature change,0.3,1.4,0.6,0.5,-0,1.4,0.5,0.9,1,1.2
Jun�Jul�Aug,Standard Deviation,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sep�Oct�Nov,Temperature change,1.2,1.4,0,0.6,1.3,1.7,1.8,1.9,0.3,1.4
Sep�Oct�Nov,Standard Deviation,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Meteorological year,Temperature change,0.6,1,0.6,0.2,0.3,1.4,1.1,1.1,1.1,1.1
Meteorological year,Standard Deviation,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
