location,latitude,longitude
Sydney,-33.8650,151.2094
Melbourne,-37.8136,144.9631
Brisbane,-27.4678,153.0281
Gold Coast,-28.0167,153.4000
Newcastle,-32.9167,151.7500
Wollongong,-34.4331,150.8831
Hobart,-42.8806,147.3250
Ballarat,-37.5500,143.8500
Bendigo,-36.7500,144.2667
Launceston,-41.4419,147.1450
Coffs Harbour,-30.3022,153.1189
Wagga Wagga,-35.1189,147.3689
Albury,-36.0806,146.9158
Mildura,-34.1889,142.1583
Mount Gambier,-37.8294,140.7828
Sale,-38.1000,147.0667
Penrith,-33.7511,150.6942
Portland,-38.3333,141.6000
Moree,-29.4650,149.8344
Richmond,-33.5983,150.7511
Cobar,-31.4997,145.8319
Nhill,-36.3333,141.6500
Badgerys Creek,-33.87509,150.76343
Norah Head,-33.28329,151.5667
Norfolk Island Creek,-31.74336,150.04781
Williamtown,-32.8115,151.84426
Mount Ginini,-35.52938,148.77227
Watsonia,-37.708,145.083
Dartmoor,-37.91438,141.273
Cairns Street,-27.67611, 153.1886
