latitude,longitude
-32.5484,148.3833
-37.5502,143.541
-30.3185,140.7558
-28.5984,140.5749
-29.1745,150.2247
-37.3921,145.8596
-28.1177,152.9359
-27.7596,145.6098
-32.2352,147.3696
-28.164,149.4312
-30.776,149.4186
-30.6932,147.537
-36.1111,142.217
-33.725,147.0237
-37.2242,145.4041
-36.0706,149.6623
-33.4955,148.4329
-37.3784,146.1129
-35.9332,146.291
-40.8377,144.8348
-37.2515,145.5388
-34.4649,150.8873
-37.7478,142.8069
-27.4789,150.429
-29.8256,152.4292
-35.6096,147.0738
-37.4441,149.2083
-29.2142,151.5925
-37.4214,148.3103
-32.1691,151.0171
-42.1276,147.2669
-34.4335,142.9126
-28.7081,151.3059
-28.7675,146.0863
-33.5581,150.2752
-28.7657,146.9261
-41.6513,147.0175
-31.4695,152.8308
-34.7115,148.3589
-34.1116,141.0124
-36.7493,147.2253
-34.7864,145.9957
-32.2803,149.9675
-36.3435,141.0694
-28.3636,148.2303
-35.909,145.3917
-34.1829,148.2533
-29.4397,148.8684
-38.0472,143.89
-41.1946,147.4046
-33.8126,140.5778
-35.9499,147.3563
-34.4596,150.8793
-30.1514,147.5038
-32.7749,149.8374
-29.0623,148.7984
-36.6278,145.5096
-34.8038,146.08
-27.4076,143.7699
-34.7045,147.4993
-35.4246,147.9768
-34.4785,148.4316
-28.4043,150.7285
-34.4635,150.8804
-37.3637,145.6054
-29.0757,150.8272
-37.1411,143.3889
-37.6634,143.0333
-36.8945,141.9796
-28.3715,152.4266
-34.3792,146.5989
-34.7179,147.2434
-27.675,152.8534
-32.5018,150.5558
-38.3621,146.4904
-36.2523,143.6748
-35.8273,142.0574
-36.7483,144.1898
-37.2636,149.8302
-33.686,146.2178
-35.0772,146.5571
-33.394,150.4162
-33.4198,147.4554
-28.4502,143.9312
-34.9295,145.9554
-35.7207,146.7215
-28.38,149.8041
-37.6146,143.015
-28.3052,149.3578
-37.1386,149.1524
-41.4985,146.5005
-27.5108,149.5639
-34.2996,147.4046
-29.0629,148.8045
-33.8316,149.2746
-42.4145,146.5608
-28.1026,152.7182
-29.0071,148.7486
-28.3905,149.2338
-28.8079,147.1418
-31.1814,151.6116
-28.7468,147.7209
-41.6268,146.1647
-30.9018,146.1131
-35.813,149.0116
-27.4312,152.3582
-34.0486,149.7305
-35.936,145.1244
-41.6929,147.4422
-36.0835,144.6662
-33.4614,150.8967
-35.3267,149.1855
-28.997,146.5728
-43.1377,145.9117
-34.2036,146.124
-40.6802,144.9375
-40.2555,148.1615
-38.5221,143.9609
-34.5786,147.0919
-32.6389,146.4855
-34.5374,142.3227
-37.3749,145.7389
-37.6437,146.1984
-35.7191,146.4476
-34.6675,147.323
-41.109,145.3152
-34.7713,147.4038
-36.1637,146.7026
-35.2814,141.8404
-34.879,145.9879
-33.4017,149.8179
-28.7622,147.1599
-36.3809,145.9147
-35.4628,146.8946
-28.3678,148.134
-37.4811,149.0313
-29.2604,152.5285
-34.4169,140.5441
-27.6063,149.5431
-28.9245,149.2525
-31.6766,147.1128
-34.9944,147.0862
-37.84,141.8265
-36.7309,141.4807
-35.8711,146.4617
-35.7291,146.8221
-34.4687,150.8769
-33.1969,146.4369
-35.295,148.9281
-36.5163,143.0295
-41.4432,147.5409
-33.2405,149.1778
-31.829,151.9518
-32.1182,146.8847
-33.6667,151.2182
-35.6144,145.2692
-35.6793,141.9865
-27.6505,150.7953
-36.6139,146.9152
-27.4117,151.0145
-36.4301,141.2737
-28.1991,141.4671
-37.2382,149.7894
-34.4569,150.8743
-33.6841,147.6468
-35.8227,146.778
-35.7746,150.0431
-27.6409,147.8714
-36.3672,141.9187
-35.8518,143.0041
-38.1254,141.9304
-34.7051,146.5345
-34.3571,140.631
-35.6287,146.9524
-38.1912,141.6583
-35.489,145.4978
-37.839,141.8877
-27.5611,150.929
-34.4478,150.8634
-31.7953,144.9973
-33.8367,148.2905
-31.8759,150.7704
-34.2972,146.2403
-38.5203,146.4989
-31.1297,146.1225
-34.4638,150.8639
-30.8756,151.3077
-41.4446,147.4109
-35.1788,148.5846
-35.6053,150.179
-34.4542,150.8676
-33.8825,146.1706
-28.5888,152.4231
-31.2871,148.9042
-36.205,149.8889
-37.3926,144.1481
-31.4061,148.527
-33.4689,147.1344
-29.5667,151.5707
-28.7779,146.053
-34.4986,146.8185
-32.1477,149.3754
-30.5336,150.097
-37.6371,148.4672
-29.0427,152.5484
-28.4782,149.9468
-40.3591,148.319
-37.8213,145.3915
-41.7437,146.0973
-37.8291,142.9808
-30.936,152.8015
-27.7175,150.8158
-29.4554,149.9703
-37.4082,144.9975
-36.6903,143.9453
-28.1485,152.4681
-34.3379,146.1046
-32.0216,152.4677
-34.8579,147.229
-37.9625,145.7041
-34.0266,140.5283
-31.0809,148.4438
-41.0334,147.1809
-30.9905,149.9458
-27.9701,151.7954
-29.4577,152.2719
-33.1959,150.8054
-37.3033,141.0741
-35.3279,144.2769
-41.6734,147.4763
-28.446,152.2955
-33.8883,148.2745
-35.5098,146.5561
-36.5614,147.6198
-32.5448,146.7525
-36.629,144.6833
-29.1639,149.4053
-31.6532,151.2563
-28.7003,142.4621
-34.5941,146.2344
-33.3716,145.5324
-27.5919,151.7044
-29.9611,151.5155
-30.1989,140.7624
-37.8689,142.8635
-29.1338,151.7279
-41.0132,148.1821
-42.2565,146.6315
-28.8443,141.4583
-36.4632,141.2912
-29.7499,152.6409
-27.9638,150.4858
-30.3775,147.4498
-28.8648,140.6029
-34.4605,150.879
-35.6204,141.579
-41.0996,144.7325
-35.6556,150.2766
-41.0038,144.7911
-29.0225,148.7494
-28.9325,149.0655
-30.6927,149.7644
-33.586,147.7095
-28.1959,147.5206
-36.4068,145.7566
-31.5563,152.0453
-35.5011,143.3564
-38.3878,147.0767
-27.6563,141.6429
-37.6715,145.5902
-37.2354,142.2708
-27.7232,148.6529
-32.6474,148.763
-35.8277,143.7547
-29.364,148.3238
-30.9269,152.7998
-38.3456,147.0037
-29.3872,152.8442
-37.7745,146.5329
-35.4545,147.2526
-29.2669,151.5787
-36.1004,143.6316
-36.7571,141.0545
-35.2839,143.8589
-41.0807,145.8455
-31.0796,151.0146
-34.3519,146.4556
-33.7958,150.8745
-29.8199,152.7474
-29.2072,151.5873
-28.3384,149.955
-37.4463,146.0112
-35.5429,148.2846
-34.3165,148.0332
-30.8867,146.1195
-31.2342,152.7857
-32.4883,146.6157
-28.7605,147.7137
-28.7696,152.8455
-33.9496,148.6204
-28.8993,150.8837
-28.4463,150.855
-28.1603,151.2815
-32.3506,149.0043
-38.5171,146.5608
-37.4127,145.129
-34.5336,148.2361
-35.0728,146.7895
-35.2771,142.1905
-35.5821,148.0299
-29.381,148.1449
-36.7891,146.9932
-32.6008,148.725
-41.4899,145.7431
-35.5776,144.5949
-33.7876,145.5338
-28.8866,150.7256
-34.4554,146.3336
-34.6135,148.2866
