Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed
2008-12-01,Albury,13.4,22.9,0.6,W,44
2008-12-02,Albury,7.4,25.1,0,WNW,44
2008-12-03,Albury,12.9,25.7,0,WSW,46
2008-12-04,Albury,9.2,28,0,NE,24
2008-12-05,Albury,17.5,32.3,1,W,41
2008-12-06,Albury,14.6,29.7,0.2,WNW,56
2008-12-07,Albury,14.3,25,0,W,50
2008-12-08,Albury,7.7,26.7,0,W,35
2008-12-09,Albury,9.7,31.9,0,NNW,80
2008-12-10,Albury,13.1,30.1,1.4,W,28
2008-12-11,Albury,13.4,30.4,0,N,30
2008-12-12,Albury,15.9,21.7,2.2,NNE,31
2008-12-13,Albury,15.9,18.6,15.6,W,61
2008-12-14,Albury,12.6,21,3.6,SW,44
2008-12-15,Albury,8.4,24.6,0,NA,NA
2008-12-16,Albury,9.8,27.7,NA,WNW,50
2008-12-17,Albury,14.1,20.9,0,ENE,22
2008-12-18,Albury,13.5,22.9,16.8,W,63
2008-12-19,Albury,11.2,22.5,10.6,SSE,43
2008-12-20,Albury,9.8,25.6,0,SSE,26
2008-12-21,Albury,11.5,29.3,0,S,24
2008-12-22,Albury,17.1,33,0,NE,43
2008-12-23,Albury,20.5,31.8,0,WNW,41
2008-12-24,Albury,15.3,30.9,0,N,33
2008-12-25,Albury,12.6,32.4,0,W,43
2008-12-26,Albury,16.2,33.9,0,WSW,35
2008-12-27,Albury,16.9,33,0,WSW,57
2008-12-28,Albury,20.1,32.7,0,WNW,48
2008-12-29,Albury,19.7,27.2,0,WNW,46
2008-12-30,Albury,12.5,24.2,1.2,WNW,50
2008-12-31,Albury,12,24.4,0.8,W,39
2009-01-01,Albury,11.3,26.5,0,WNW,56
2009-01-02,Albury,9.6,23.9,0,W,41
2009-01-03,Albury,10.5,28.8,0,SSE,26
2009-01-04,Albury,12.3,34.6,0,WNW,37
2009-01-05,Albury,12.9,35.8,0,WNW,41
2009-01-06,Albury,13.7,37.9,0,W,52
2009-01-07,Albury,16.1,38.9,0,W,57
2009-01-08,Albury,14,28.3,0,W,48
2009-01-09,Albury,12.5,28.4,0,NE,37
2009-01-10,Albury,17,30.8,0,NE,37
2009-01-11,Albury,16.9,32,0,S,31
2009-01-12,Albury,17.3,34.7,0,SW,35
2009-01-13,Albury,17.2,37.7,0,NNW,35
2009-01-14,Albury,17.4,43,0,NW,39
2009-01-15,Albury,19.8,32.7,0,WNW,44
2009-01-16,Albury,14.9,26.7,0,SW,56
2009-01-17,Albury,10.5,28.4,0,SE,33
2009-01-18,Albury,11.3,32.2,0,WNW,28
2009-01-19,Albury,13.9,36.6,0,WNW,39
2009-01-20,Albury,18.6,39.9,0,NNW,61
2009-01-21,Albury,19.3,38.1,0.8,NNW,61
2009-01-22,Albury,24.4,34,0.6,NW,98
2009-01-23,Albury,18.8,35.2,6.4,WNW,52
2009-01-24,Albury,20.8,30.6,0,W,54
2009-01-25,Albury,14,34.3,0,WSW,24
2009-01-26,Albury,15.7,38.4,0,S,33
2009-01-27,Albury,18.5,38.2,0,NNE,31
2009-01-28,Albury,20.4,40.7,0,N,37
2009-01-29,Albury,21.8,41.5,0,SW,24
2009-01-30,Albury,22.3,42.9,0,NNE,28
2009-01-31,Albury,22,42.7,0,ESE,48
2009-02-01,Albury,28,43.1,0,SW,83
2009-02-02,Albury,24.4,38.3,0.2,SW,56
2009-02-03,Albury,21.5,37.7,0,NA,NA
2009-02-04,Albury,21.7,36.9,0,NA,NA
2009-02-05,Albury,21.5,41.2,0,WSW,35
2009-02-06,Albury,23.5,42.2,0,W,37
2009-02-07,Albury,22.3,44.8,0,NNW,59
2009-02-08,Albury,28.3,40.2,0,NW,52
2009-02-09,Albury,18.4,31.2,0.4,SE,37
2009-02-10,Albury,14.9,27.3,0,SSE,41
2009-02-11,Albury,13.5,26.7,0,SSE,46
2009-02-12,Albury,16.1,21.6,0,SE,46
2009-02-13,Albury,14.6,29,3,SSE,41
2009-02-14,Albury,12.4,29.2,0,NE,39
2009-02-15,Albury,13.3,31.3,0,NNE,41
2009-02-16,Albury,17.2,31.1,0,E,35
2009-02-17,Albury,12.5,28.8,0,N,31
2009-02-18,Albury,18,32,0,NW,31
2009-02-19,Albury,16.2,34,0,WSW,48
2009-02-20,Albury,18.7,29.1,0,SSW,41
2009-02-21,Albury,13.7,31.7,0,SSE,28
2009-02-22,Albury,15.5,33.2,0,NW,31
2009-02-23,Albury,14.3,34,0,NW,70
2009-02-24,Albury,12.9,29.6,0,WNW,46
2009-02-25,Albury,8.9,31.9,0,WNW,43
2009-02-26,Albury,15,32.7,0,ESE,26
2009-02-27,Albury,15.4,32.6,0,W,24
2009-02-28,Albury,16,34.5,0,WSW,44
2009-03-01,Albury,12.8,30.3,0,W,30
2009-03-02,Albury,13.2,31.9,0,NNW,35
2009-03-03,Albury,18,31.1,0,WNW,52
2009-03-04,Albury,13.8,22.1,0.2,WNW,57
2009-03-05,Albury,11.5,22,0,SW,50
2009-03-06,Albury,7.6,24,0,WSW,30
2009-03-07,Albury,8.3,27.9,0,W,37
2009-03-08,Albury,11,30.2,0,SSE,24
2009-03-09,Albury,13.8,31.8,0,NNE,24
2009-03-10,Albury,15.5,32,0,NE,50
2009-03-11,Albury,18.4,30.5,1.2,NE,44
2009-03-12,Albury,20.9,25.7,0,W,37
2009-03-13,Albury,17.1,25.8,5.8,ENE,31
2009-03-14,Albury,16.4,27,3,SW,69
2009-03-15,Albury,10,19.7,11.6,WNW,39
2009-03-16,Albury,8.8,21.9,0,W,39
2009-03-17,Albury,8.4,25.3,0,WNW,35
2009-03-18,Albury,9.3,28,0,NW,52
2009-03-19,Albury,11.3,30.1,0,WSW,24
2009-03-20,Albury,11.5,33.5,0,SSE,22
2009-03-21,Albury,13.8,33.6,0,NNW,28
2009-03-22,Albury,14.6,30,0,NE,37
2009-03-23,Albury,14.4,31.6,0,NW,37
2009-03-24,Albury,10.8,31.9,0,S,48
2009-03-25,Albury,15.4,22.3,0.4,ENE,30
2009-03-26,Albury,13.3,29.8,1.8,WSW,33
2009-03-27,Albury,10.1,27.6,0,WNW,43
2009-03-28,Albury,9.1,28.9,0,NNW,24
2009-03-29,Albury,10.4,31.2,0,S,22
2009-03-30,Albury,13.4,30.4,0,ENE,22
2009-03-31,Albury,12.3,29.9,0,WSW,26
2009-04-01,Albury,12.2,30.6,0,SE,22
2009-04-02,Albury,14.3,32.1,0,NE,28
2009-04-03,Albury,18.4,28.1,8.6,W,98
2009-04-04,Albury,10.7,21.4,12.6,W,43
2009-04-05,Albury,7.8,21.7,0,WSW,31
2009-04-06,Albury,8.1,21.4,0,W,35
2009-04-07,Albury,7.5,22.5,0,SE,28
2009-04-08,Albury,8.2,24,0,SSE,17
2009-04-09,Albury,8.1,25.7,0,ENE,22
2009-04-10,Albury,11.6,26.7,0,W,48
2009-04-11,Albury,13,24.9,8.4,W,46
2009-04-12,Albury,13.5,24.2,6.2,WSW,20
2009-04-13,Albury,9.9,25.4,0,NNE,19
2009-04-14,Albury,12.2,25,0,WNW,30
2009-04-15,Albury,10.7,21.9,0,W,63
2009-04-16,Albury,3.5,20,0,W,31
2009-04-17,Albury,6.6,21.6,0,WNW,26
2009-04-18,Albury,7,23.4,0,W,24
2009-04-19,Albury,11.2,23.9,0,SE,31
2009-04-20,Albury,7.4,22,0,SSE,28
2009-04-21,Albury,5.7,21.4,0,ESE,17
2009-04-22,Albury,6.2,22.7,0,ESE,17
2009-04-23,Albury,6,22.9,0,NE,33
2009-04-24,Albury,10.6,16.2,0,WNW,39
2009-04-25,Albury,12.9,15.8,20,W,70
2009-04-26,Albury,8.6,12.9,21,NNW,63
2009-04-27,Albury,4.5,11.5,3.2,NW,26
2009-04-28,Albury,7.6,14.5,4.8,WNW,35
2009-04-29,Albury,5.4,12.2,0,SSE,19
2009-04-30,Albury,2.1,16.5,0,SW,19
2009-05-01,Albury,1.8,17,0,SW,19
2009-05-02,Albury,7.2,19.2,0,SW,22
2009-05-03,Albury,4.6,18.9,0,S,15
2009-05-04,Albury,4.2,19.1,0,W,19
2009-05-05,Albury,5.2,18.8,0,ESE,15
2009-05-06,Albury,4.1,19.3,0,SW,20
2009-05-07,Albury,3.2,18.4,0,SW,20
2009-05-08,Albury,4.3,19,0,W,15
2009-05-09,Albury,3.7,20.5,0,W,17
2009-05-10,Albury,5.4,19.5,0,SE,17
2009-05-11,Albury,4.3,17.7,0,ESE,15
2009-05-12,Albury,3.6,18.5,0,W,26
2009-05-13,Albury,3.6,15.1,0,WNW,28
2009-05-14,Albury,6.9,16.3,0,WNW,35
2009-05-15,Albury,10.3,16.6,0,WNW,54
2009-05-16,Albury,12.4,16.4,1.8,W,52
2009-05-17,Albury,3,15.6,0,W,20
2009-05-18,Albury,2.6,19.7,0,E,13
2009-05-19,Albury,3.7,19.1,0,SSE,19
2009-05-20,Albury,5.1,18.6,0,E,13
2009-05-21,Albury,4.4,19.8,0,SE,20
2009-05-22,Albury,4.7,19.8,0,SE,24
2009-05-23,Albury,6.2,22.9,0,E,30
2009-05-24,Albury,6.7,21.1,0,SE,20
2009-05-25,Albury,9.3,20.3,0,NE,31
2009-05-26,Albury,11.6,18.1,4.2,E,19
2009-05-27,Albury,8,16.2,0.8,W,20
2009-05-28,Albury,2.6,15.7,0,SSE,13
2009-05-29,Albury,2.2,16.5,0,ESE,33
2009-05-30,Albury,2.2,16.8,0,SE,26
2009-05-31,Albury,1.7,17.1,0,NW,44
2009-06-01,Albury,8,14.3,1.2,SE,13
2009-06-02,Albury,8.4,13.4,1.4,SE,13
2009-06-03,Albury,10.6,14.3,4.8,SE,13
2009-06-04,Albury,8.9,17.4,8,ENE,13
2009-06-05,Albury,2.8,16.1,0,W,20
2009-06-06,Albury,1.7,10.5,0.2,ESE,11
2009-06-07,Albury,4.7,11.6,14.4,NNW,30
2009-06-08,Albury,9,12,4.6,WNW,33
